condition,security_param,beta,filter_budget,filter_capacity,num_stat_queries,harmful_mass,tv_to_ideal,runtime_sec,avg_queries_per_output,harmful_floor,required_queries,required_queries_near_floor,required_queries_target,target_achieved
base_model,4.0,0.0,,,,0.5546875,,0.0,,,,,,
rlhf_aligned,4.0,0.0,,,,0.5859375,0.94140625,0.0,,,,,,
trapdoor_oracle,4.0,0.0,,,,0.0,0.0,0.0,,,,,,
bounded_filter,4.0,0.0,1.0,4.0,,0.625,0.8828125,0.013456499999961125,1.0,,,,,
whitebox_filter,4.0,0.0,1.0,4.0,,1.0,1.0,0.011235700000042925,1.0,,,,,
bounded_filter,4.0,0.0,2.0,4.0,,0.46875,0.890625,0.028116800000020703,1.6458333333333333,,,,,
whitebox_filter,4.0,0.0,2.0,4.0,,1.0,1.0,0.006479200000057972,2.0,,,,,
sq_filter,4.0,0.0,1.0,,1.0,0.484375,0.87890625,0.024277299999994284,2.125,,,,,
sq_filter,4.0,0.0,2.0,,2.0,0.4765625,0.88671875,0.031842600000004495,2.0625,,,,,
sq_filter,4.0,0.0,4.0,,4.0,0.828125,0.94140625,0.03477390000000469,3.1640625,,,,,
rlhf_aligned,4.0,1.0,,,,0.25,0.828125,0.0,,,,,,
trapdoor_oracle,4.0,1.0,,,,0.0,0.0,0.0,,,,,,
bounded_filter,4.0,1.0,1.0,4.0,,0.359375,0.78515625,0.013434200000006058,1.0,,,,,
whitebox_filter,4.0,1.0,1.0,4.0,,0.75,0.9921875,0.007534999999961656,1.0,,,,,
bounded_filter,4.0,1.0,2.0,4.0,,0.234375,0.81640625,0.02434040000002824,1.1354166666666667,,,,,
whitebox_filter,4.0,1.0,2.0,4.0,,0.75,0.99609375,0.02000759999998536,2.0,,,,,
sq_filter,4.0,1.0,1.0,,1.0,0.234375,0.76171875,0.040934900000024754,2.125,,,,,
sq_filter,4.0,1.0,2.0,,2.0,0.171875,0.765625,0.023768900000050053,2.25,,,,,
sq_filter,4.0,1.0,4.0,,4.0,0.203125,0.78125,0.06288680000000113,4.096354166666667,,,,,
scaling_summary,4.0,,,,,,,,,0.46875,4.0,1.6458333333333333,4.0,0.0
empirical_constant_estimate,,,,,,0.46875,,,,0.46875,,,,
